year,vegetacion_total,areas_antropogenicas,diferencia
1985,76.19999999999999,22.1,54.09999999999999
1986,75.8,22.6,53.199999999999996
1987,75.4,22.9,52.50000000000001
1988,75.2,23.0,52.2
1989,75.0,23.2,51.8
1990,74.9,23.2,51.7
1991,74.9,23.3,51.60000000000001
1992,75.0,23.3,51.7
1993,75.0,23.2,51.8
1994,74.8,23.5,51.3
1995,74.4,23.8,50.60000000000001
1996,74.0,24.299999999999997,49.7
1997,73.9,24.4,49.50000000000001
1998,73.9,24.3,49.60000000000001
1999,73.9,24.5,49.400000000000006
2000,73.8,24.5,49.3
2001,73.8,24.5,49.3
2002,73.7,24.6,49.1
2003,73.5,24.700000000000003,48.8
2004,73.1,25.2,47.89999999999999
2005,72.8,25.5,47.3
2006,72.6,25.6,46.99999999999999
2007,72.5,25.8,46.7
2008,72.3,26.1,46.199999999999996
2009,72.1,26.4,45.699999999999996
2010,71.9,26.5,45.400000000000006
2011,71.6,26.700000000000003,44.89999999999999
2012,71.6,26.799999999999997,44.8
2013,71.4,26.9,44.50000000000001
2014,71.6,26.799999999999997,44.8
2015,71.6,26.700000000000003,44.89999999999999
2016,71.8,26.6,45.199999999999996
2017,71.7,26.5,45.2
2018,71.6,26.6,44.99999999999999
2019,71.6,26.8,44.8
2020,71.6,26.799999999999997,44.8
2021,71.4,27.0,44.400000000000006
2022,71.4,27.1,44.300000000000004
2023,71.4,27.200000000000003,44.2
2024,71.5,26.9,44.6
