Primary Vegetation Suppression,Secondary Vegetation Suppression,year
 -  ha ( - %), -  ha ( - %),1985
 -  ha ( - %), -  ha ( - %),1986
"2,511,792 ha (100%)", -  ha ( - %),1987
"1,735,336 ha (100%)", -  ha ( - %),1988
"1,437,293 ha (97.5%)","36,862 ha (2.5%)",1989
"1,072,539 ha (82.2%)","232,294 ha (17.8%)",1990
"841,102 ha (70.2%)","357,563 ha (29.8%)",1991
"710,236 ha (60.7%)","460,124 ha (39.3%)",1992
"593,375 ha (55.2%)","480,956 ha (44.8%)",1993
"780,535 ha (54.4%)","653,670 ha (45.6%)",1994
"955,962 ha (52%)","882,479 ha (48%)",1995
"936,610 ha (50.4%)","920,217 ha (49.6%)",1996
"715,420 ha (51.3%)","678,320 ha (48.7%)",1997
"1,381,259 ha (65.8%)","717,103 ha (34.2%)",1998
"627,000 ha (49.8%)","632,288 ha (50.2%)",1999
"648,530 ha (46.5%)","745,716 ha (53.5%)",2000
"620,538 ha (45.9%)","730,783 ha (54.1%)",2001
"584,868 ha (44.3%)","736,667 ha (55.7%)",2002
"754,421 ha (43.7%)","970,896 ha (56.3%)",2003
"747,924 ha (41.1%)","1,070,385 ha (58.9%)",2004
"848,913 ha (45.2%)","1,029,695 ha (54.8%)",2005
"692,929 ha (44%)","883,210 ha (56%)",2006
"612,604 ha (43.6%)","791,415 ha (56.4%)",2007
"894,364 ha (45.4%)","1,074,458 ha (54.6%)",2008
"550,657 ha (43.2%)","723,975 ha (56.8%)",2009
"703,531 ha (42.6%)","948,414 ha (57.4%)",2010
"560,494 ha (40.1%)","836,465 ha (59.9%)",2011
"525,238 ha (40.1%)","783,080 ha (59.9%)",2012
"499,952 ha (36.4%)","871,921 ha (63.6%)",2013
"432,272 ha (37.8%)","711,968 ha (62.2%)",2014
"426,409 ha (36.6%)","738,894 ha (63.4%)",2015
"341,182 ha (33.1%)","688,237 ha (66.9%)",2016
"335,907 ha (31.6%)","725,971 ha (68.4%)",2017
"292,820 ha (25.5%)","853,733 ha (74.5%)",2018
"313,831 ha (25.3%)","926,145 ha (74.7%)",2019
"289,120 ha (23.6%)","935,854 ha (76.4%)",2020
"327,140 ha (23.1%)","1,087,669 ha (76.9%)",2021
"290,382 ha (23%)","974,775 ha (77%)",2022
"259,565 ha (23%)","867,734 ha (77%)",2023
"246,615 ha (63.4%)","142,505 ha (36.6%)",2024
